window_start,window_end,feature,method,statistic,threshold,alert,p_value,effect_size,n_reference,n_window
2015-02-18 08:22:38,2015-02-18 09:22:38,bytes_ratio,ks,0.116579,0.00531,True,0.0,0.116579,1270025,101398
2015-02-18 08:22:38,2015-02-18 09:22:38,bytes_ratio,wasserstein,0.083683,0.1,True,,0.175201,1270025,101398
2015-02-18 08:22:38,2015-02-18 09:22:38,bytes_ratio,psi,0.117909,0.2,False,,0.117909,1270025,101398
2015-02-18 08:22:38,2015-02-18 09:22:38,bytes_ratio,cusum,19.306962,7.750815,True,,0.284903,1270025,101398
2015-02-18 08:22:38,2015-02-18 09:22:38,packets_ratio,ks,0.124658,0.00531,True,0.0,0.124658,1270025,101398
2015-02-18 08:22:38,2015-02-18 09:22:38,packets_ratio,wasserstein,0.059012,0.1,True,,3.422703,1270025,101398
2015-02-18 08:22:38,2015-02-18 09:22:38,packets_ratio,psi,0.113544,0.2,False,,0.113544,1270025,101398
2015-02-18 08:22:38,2015-02-18 09:22:38,packets_ratio,cusum,44.407032,7.750815,True,,0.452511,1270025,101398
2015-02-18 08:22:38,2015-02-18 09:22:38,duration_log1p,ks,0.110239,0.00531,True,0.0,0.110239,1270025,101398
2015-02-18 08:22:38,2015-02-18 09:22:38,duration_log1p,wasserstein,0.008205,0.1,False,,0.032743,1270025,101398
2015-02-18 08:22:38,2015-02-18 09:22:38,duration_log1p,psi,0.105272,0.2,False,,0.105272,1270025,101398
2015-02-18 08:22:38,2015-02-18 09:22:38,duration_log1p,cusum,0.534721,7.750815,False,,0.003106,1270025,101398
2015-02-18 08:22:38,2015-02-18 09:22:38,packets_log1p,ks,0.107248,0.00531,True,0.0,0.107248,1270025,101398
2015-02-18 08:22:38,2015-02-18 09:22:38,packets_log1p,wasserstein,0.307579,0.1,True,,0.130515,1270025,101398
2015-02-18 08:22:38,2015-02-18 09:22:38,packets_log1p,psi,0.166803,0.2,False,,0.166803,1270025,101398
2015-02-18 08:22:38,2015-02-18 09:22:38,packets_log1p,cusum,11.997517,7.750815,True,,0.210187,1270025,101398
2015-02-18 08:22:38,2015-02-18 09:22:38,bytes_log1p,ks,0.098683,0.00531,True,0.0,0.098683,1270025,101398
2015-02-18 08:22:38,2015-02-18 09:22:38,bytes_log1p,wasserstein,0.439874,0.1,True,,0.122821,1270025,101398
2015-02-18 08:22:38,2015-02-18 09:22:38,bytes_log1p,psi,0.088696,0.2,False,,0.088696,1270025,101398
2015-02-18 08:22:38,2015-02-18 09:22:38,bytes_log1p,cusum,11.099437,7.750815,True,,0.200152,1270025,101398
2015-02-18 09:22:38,2015-02-18 10:22:38,flow_duration,ks,0.393467,0.004256,True,0.0,0.393467,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,flow_duration,wasserstein,0.323268,0.1,True,,1.133058,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,flow_duration,psi,0.80911,0.2,True,,0.80911,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,flow_duration,cusum,0.0,8.544629,False,,0.014278,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,total_packets,ks,0.396492,0.004256,True,0.0,0.396492,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,total_packets,wasserstein,44.106118,0.1,True,,0.512862,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,total_packets,psi,1.096457,0.2,True,,1.096457,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,total_packets,cusum,0.0,8.544629,False,,0.21625,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,total_bytes,ks,0.392133,0.004256,True,0.0,0.392133,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,total_bytes,wasserstein,25459.161722,0.1,True,,0.875126,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,total_bytes,psi,0.820458,0.2,True,,0.820458,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,total_bytes,cusum,0.0,8.544629,False,,0.135118,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,forward_packets,ks,0.313711,0.004256,True,0.0,0.313711,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,forward_packets,wasserstein,18.351735,0.1,True,,0.382328,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,forward_packets,psi,0.465266,0.2,True,,0.465266,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,forward_packets,cusum,0.0,8.544629,False,,0.232702,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,backward_packets,ks,0.39701,0.004256,True,0.0,0.39701,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,backward_packets,wasserstein,25.841417,0.1,True,,0.587305,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,backward_packets,psi,1.067708,0.2,True,,1.067708,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,backward_packets,cusum,0.0,8.544629,False,,0.196988,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,forward_bytes,ks,0.309655,0.004256,True,0.0,0.309655,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,forward_bytes,wasserstein,2332.026378,0.1,True,,0.68428,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,forward_bytes,psi,0.368929,0.2,True,,0.368929,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,forward_bytes,cusum,0.0,8.544629,False,,0.032992,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,backward_bytes,ks,0.398759,0.004256,True,0.0,0.398759,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,backward_bytes,wasserstein,23379.871948,0.1,True,,1.180086,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,backward_bytes,psi,1.049841,0.2,True,,1.049841,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,backward_bytes,cusum,0.0,8.544629,False,,0.133135,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,packet_rate,ks,0.39829,0.004256,True,0.0,0.39829,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,packet_rate,wasserstein,188576.772436,0.1,True,,45.441259,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,packet_rate,psi,0.812871,0.2,True,,0.812871,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,packet_rate,cusum,318.522322,8.544629,True,,1.492293,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,byte_rate,ks,0.398178,0.004256,True,0.0,0.398178,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,byte_rate,wasserstein,19111451.304609,0.1,True,,19.523699,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,byte_rate,psi,0.816491,0.2,True,,0.816491,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,byte_rate,cusum,224.185588,8.544629,True,,1.192622,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,mean_packet_size,ks,0.245767,0.004256,True,0.0,0.245767,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,mean_packet_size,wasserstein,69.621861,0.1,True,,0.230201,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,mean_packet_size,psi,0.554904,0.2,True,,0.554904,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,mean_packet_size,cusum,0.706807,8.544629,False,,0.343891,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,bytes_per_packet,ks,0.245767,0.004256,True,0.0,0.245767,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,bytes_per_packet,wasserstein,69.621861,0.1,True,,0.230201,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,bytes_per_packet,psi,0.554904,0.2,True,,0.554904,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,bytes_per_packet,cusum,0.706807,8.544629,False,,0.343891,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,bytes_ratio,ks,0.398894,0.004256,True,0.0,0.398894,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,bytes_ratio,wasserstein,0.268627,0.1,True,,0.56241,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,bytes_ratio,psi,0.813412,0.2,True,,0.813412,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,bytes_ratio,cusum,134.31534,8.544629,True,,0.915094,1270025,165164
2015-02-18 09:22:38,2015-02-18 10:22:38,packets_ratio,ks,0.399856,0.004256,True,0.0,0.399856,1270025,165164
