window_start,window_end,feature,method,statistic,threshold,alert,p_value,effect_size,n_reference,n_window
2016-08-14 12:26:09,2016-08-15 00:26:09,packet_rate,ks,0.039029,0.001717,True,0.0,0.039029,4409934,1127953
2016-08-14 12:26:09,2016-08-15 00:26:09,packet_rate,wasserstein,11.114514,0.1,True,,0.929173,4409934,1127953
2016-08-14 12:26:09,2016-08-15 00:26:09,packet_rate,psi,0.012619,0.2,False,,0.012619,4409934,1127953
2016-08-14 12:26:09,2016-08-15 00:26:09,packet_rate,cusum,0.0,10.520316,False,,0.053489,4409934,1127953
2016-08-14 12:26:09,2016-08-15 00:26:09,byte_rate,ks,0.037453,0.001717,True,0.0,0.037453,4409934,1127953
2016-08-14 12:26:09,2016-08-15 00:26:09,byte_rate,wasserstein,14377.089807,0.1,True,,10.501526,4409934,1127953
2016-08-14 12:26:09,2016-08-15 00:26:09,byte_rate,psi,0.010256,0.2,False,,0.010256,4409934,1127953
2016-08-14 12:26:09,2016-08-15 00:26:09,byte_rate,cusum,0.0,10.520316,False,,0.05485,4409934,1127953
2016-08-14 12:26:09,2016-08-15 00:26:09,mean_packet_size,ks,0.092273,0.001717,True,0.0,0.092273,4409934,1127953
2016-08-14 12:26:09,2016-08-15 00:26:09,mean_packet_size,wasserstein,16.131938,0.1,True,,0.167692,4409934,1127953
2016-08-14 12:26:09,2016-08-15 00:26:09,mean_packet_size,psi,0.0629,0.2,False,,0.0629,4409934,1127953
2016-08-14 12:26:09,2016-08-15 00:26:09,mean_packet_size,cusum,2.599669,10.520316,False,,0.039216,4409934,1127953
2016-08-14 12:26:09,2016-08-15 00:26:09,bytes_per_packet,ks,0.092273,0.001717,True,0.0,0.092273,4409934,1127953
2016-08-14 12:26:09,2016-08-15 00:26:09,bytes_per_packet,wasserstein,16.131938,0.1,True,,0.167692,4409934,1127953
2016-08-14 12:26:09,2016-08-15 00:26:09,bytes_per_packet,psi,0.0629,0.2,False,,0.0629,4409934,1127953
2016-08-14 12:26:09,2016-08-15 00:26:09,bytes_per_packet,cusum,2.599669,10.520316,False,,0.039216,4409934,1127953
