Feature Set,Model,Precision,Recall,F1 Score,False Positive Rate,False Negative Rate,ROC AUC,PR AUC,Test Samples,Normal Samples,Anomaly Samples
FULL_METADATA,Majority Baseline,0.5506000097167566,1.0,0.710176713873919,1.0,0.0,0.5,0.5506000097167566,82332,37000,45332
FULL_METADATA,Logistic Regression,0.8003343413662917,0.9399320568252008,0.8645341936269288,0.2872972972972973,0.06006794317479926,0.9576914732388789,0.9680477692376441,82332,37000,45332
FULL_METADATA,Random Forest,0.8822996922210375,0.9675284567193153,0.9229506644360973,0.15813513513513514,0.032471543280684724,0.9846479880568824,0.9886021854104252,82332,37000,45332
RESTRICTED_METADATA,Majority Baseline,0.5506000097167566,1.0,0.710176713873919,1.0,0.0,0.5,0.5506000097167566,82332,37000,45332
RESTRICTED_METADATA,Logistic Regression,0.7319363395225464,0.9130636195182211,0.812528218919927,0.4097027027027027,0.08693638048177887,0.8501499653606663,0.8332843040505094,82332,37000,45332
RESTRICTED_METADATA,Random Forest,0.8714181788788748,0.9512706256066354,0.9095952245354257,0.17197297297297298,0.048729374393364513,0.9773590137388779,0.9833114492099496,82332,37000,45332
